number,name,type1,type2,total,hp,attack,defense,sp_attack,sp_defense,speed,generation,legendary
409,Rampardos,ROCK,,495,97,165,60,65,50,58,4,false
410,Shieldon,ROCK,STEEL,350,30,42,118,42,88,30,4,false
411,Bastiodon,ROCK,STEEL,495,60,52,168,47,138,30,4,false
412,Burmy,BUG,,224,40,29,45,29,45,36,4,false
413,Wormadam Plant Cloak,BUG,GRASS,424,60,59,85,79,105,36,4,false
414,Mothim,BUG,FLYING,424,70,94,50,94,50,66,4,false
415,Combee,BUG,FLYING,244,30,30,42,30,42,70,4,false
416,Vespiquen,BUG,FLYING,474,70,80,102,80,102,40,4,false
417,Pachirisu,ELECTRIC,,405,60,45,70,45,90,95,4,false
418,Buizel,WATER,,330,55,65,35,60,30,85,4,false
419,Floatzel,WATER,,495,85,105,55,85,50,115,4,false
420,Cherubi,GRASS,,275,45,35,45,62,53,35,4,false
421,Cherrim,GRASS,,450,70,60,70,87,78,85,4,false
422,Shellos,WATER,,325,76,48,48,57,62,34,4,false
423,Gastrodon,WATER,GROUND,475,111,83,68,92,82,39,4,false
424,Ambipom,NORMAL,,482,75,100,66,60,66,115,4,false
425,Drifloon,GHOST,FLYING,348,90,50,34,60,44,70,4,false
426,Drifblim,GHOST,FLYING,498,150,80,44,90,54,80,4,false
427,Buneary,NORMAL,,350,55,66,44,44,56,85,4,false
428,Lopunny,NORMAL,,480,65,76,84,54,96,105,4,false
429,Mismagius,GHOST,,495,60,60,60,105,105,105,4,false
430,Honchkrow,DARK,FLYING,505,100,125,52,105,52,71,4,false
431,Glameow,NORMAL,,310,49,55,42,42,37,85,4,false
432,Purugly,NORMAL,,452,71,82,64,64,59,112,4,false
433,Chingling,PSYCHIC,,285,45,30,50,65,50,45,4,false
434,Stunky,POISON,DARK,329,63,63,47,41,41,74,4,false
435,Skuntank,POISON,DARK,479,103,93,67,71,61,84,4,false
436,Bronzor,STEEL,PSYCHIC,300,57,24,86,24,86,23,4,false
437,Bronzong,STEEL,PSYCHIC,500,67,89,116,79,116,33,4,false
438,Bonsly,ROCK,,290,50,80,95,10,45,10,4,false
439,Mime Jr.,PSYCHIC,FAIRY,310,20,25,45,70,90,60,4,false
440,Happiny,NORMAL,,220,100,5,5,15,65,30,4,false
441,Chatot,NORMAL,FLYING,411,76,65,45,92,42,91,4,false
442,Spiritomb,GHOST,DARK,485,50,92,108,92,108,35,4,false
443,Gible,DRAGON,GROUND,300,58,70,45,40,45,42,4,false
444,Gabite,DRAGON,GROUND,410,68,90,65,50,55,82,4,false
445,Garchomp,DRAGON,GROUND,600,108,130,95,80,85,102,4,false
446,Munchlax,NORMAL,,390,135,85,40,40,85,5,4,false
447,Riolu,FIGHTING,,285,40,70,40,35,40,60,4,false
448,Lucario,FIGHTING,STEEL,525,70,110,70,115,70,90,4,false
449,Hippopotas,GROUND,,330,68,72,78,38,42,32,4,false
450,Hippowdon,GROUND,,525,108,112,118,68,72,47,4,false
451,Skorupi,POISON,BUG,330,40,50,90,30,55,65,4,false
452,Drapion,POISON,DARK,500,70,90,110,60,75,95,4,false
453,Croagunk,POISON,FIGHTING,300,48,61,40,61,40,50,4,false
454,Toxicroak,POISON,FIGHTING,490,83,106,65,86,65,85,4,false
455,Carnivine,GRASS,,454,74,100,72,90,72,46,4,false
456,Finneon,WATER,,330,49,49,56,49,61,66,4,false
457,Lumineon,WATER,,460,69,69,76,69,86,91,4,false
458,Mantyke,WATER,FLYING,345,45,20,50,60,120,50,4,false
459,Snover,GRASS,ICE,334,60,62,50,62,60,40,4,false
460,Abomasnow,GRASS,ICE,494,90,92,75,92,85,60,4,false
461,Weavile,DARK,ICE,510,70,120,65,45,85,125,4,false
462,Magnezone,ELECTRIC,STEEL,535,70,70,115,130,90,60,4,false
463,Lickilicky,NORMAL,,515,110,85,95,80,95,50,4,false
464,Rhyperior,GROUND,ROCK,535,115,140,130,55,55,40,4,false
465,Tangrowth,GRASS,,535,100,100,125,110,50,50,4,false
466,Electivire,ELECTRIC,,540,75,123,67,95,85,95,4,false
467,Magmortar,FIRE,,540,75,95,67,125,95,83,4,false
468,Togekiss,FAIRY,FLYING,545,85,50,95,120,115,80,4,false
469,Yanmega,BUG,FLYING,515,86,76,86,116,56,95,4,false
470,Leafeon,GRASS,,525,65,110,130,60,65,95,4,false
471,Glaceon,ICE,,525,65,60,110,130,95,65,4,false
472,Gliscor,GROUND,FLYING,510,75,95,125,45,75,95,4,false
473,Mamoswine,ICE,GROUND,530,110,130,80,70,60,80,4,false
474,Porygon-Z,NORMAL,,535,85,80,70,135,75,90,4,false
475,Gallade,PSYCHIC,FIGHTING,518,68,125,65,65,115,80,4,false
476,Probopass,ROCK,STEEL,525,60,55,145,75,150,40,4,false
477,Dusknoir,GHOST,,525,45,100,135,65,135,45,4,false
478,Froslass,ICE,GHOST,480,70,80,70,80,70,110,4,false
479,Rotom,ELECTRIC,GHOST,440,50,50,77,95,77,91,4,false
480,Uxie,PSYCHIC,,580,75,75,130,75,130,95,4,true
481,Mesprit,PSYCHIC,,580,80,105,105,105,105,80,4,true
482,Azelf,PSYCHIC,,580,75,125,70,125,70,115,4,true
483,Dialga,STEEL,DRAGON,680,100,120,120,150,100,90,4,true
484,Palkia,WATER,DRAGON,680,90,120,100,150,120,100,4,true
485,Heatran,FIRE,STEEL,600,91,90,106,130,106,77,4,true
486,Regigigas,NORMAL,,670,110,160,110,80,110,100,4,true
487,Giratina Altered Forme,GHOST,DRAGON,680,150,100,120,100,120,90,4,true
488,Cresselia,PSYCHIC,,600,120,70,120,75,130,85,4,true
489,Phione,WATER,,480,80,80,80,80,80,80,4,true
490,Manaphy,WATER,,600,100,100,100,100,100,100,4,true
491,Darkrai,DARK,,600,70,90,90,135,90,125,4,true
492,Shaymin Land Forme,GRASS,,600,100,100,100,100,100,100,4,true
493,Arceus,NORMAL,,720,120,120,120,120,120,120,4,true
494,Victini,PSYCHIC,FIRE,600,100,100,100,100,100,100,5,true
495,Snivy,GRASS,,308,45,45,55,45,55,63,5,false
496,Servine,GRASS,,413,60,60,75,60,75,83,5,false
497,Serperior,GRASS,,528,75,75,95,75,95,113,5,false
498,Tepig,FIRE,,308,65,63,45,45,45,45,5,false
499,Pignite,FIRE,FIGHTING,418,90,93,55,70,55,55,5,false
500,Emboar,FIRE,FIGHTING,528,110,123,65,100,65,65,5,false
501,Oshawott,WATER,,308,55,55,45,63,45,45,5,false
502,Dewott,WATER,,413,75,75,60,83,60,60,5,false
503,Samurott,WATER,,528,95,100,85,108,70,70,5,false
504,Patrat,NORMAL,,255,45,55,39,35,39,42,5,false
505,Watchog,NORMAL,,420,60,85,69,60,69,77,5,false
506,Lillipup,NORMAL,,275,45,60,45,25,45,55,5,false
507,Herdier,NORMAL,,370,65,80,65,35,65,60,5,false
508,Stoutland,NORMAL,,500,85,110,90,45,90,80,5,false
509,Purrloin,DARK,,281,41,50,37,50,37,66,5,false
510,Liepard,DARK,,446,64,88,50,88,50,106,5,false
511,Pansage,GRASS,,316,50,53,48,53,48,64,5,false
512,Simisage,GRASS,,498,75,98,63,98,63,101,5,false
513,Pansear,FIRE,,316,50,53,48,53,48,64,5,false
514,Simisear,FIRE,,498,75,98,63,98,63,101,5,false
515,Panpour,WATER,,316,50,53,48,53,48,64,5,false
516,Simipour,WATER,,498,75,98,63,98,63,101,5,false
517,Munna,PSYCHIC,,292,76,25,45,67,55,24,5,false
518,Musharna,PSYCHIC,,487,116,55,85,107,95,29,5,false
519,Pidove,NORMAL,FLYING,264,50,55,50,36,30,43,5,false
520,Tranquill,NORMAL,FLYING,358,62,77,62,50,42,65,5,false
521,Unfezant,NORMAL,FLYING,488,80,115,80,65,55,93,5,false
522,Blitzle,ELECTRIC,,295,45,60,32,50,32,76,5,false
523,Zebstrika,ELECTRIC,,497,75,100,63,80,63,116,5,false
524,Roggenrola,ROCK,,280,55,75,85,25,25,15,5,false
525,Boldore,ROCK,,390,70,105,105,50,40,20,5,false
526,Gigalith,ROCK,,515,85,135,130,60,80,25,5,false
527,Woobat,PSYCHIC,FLYING,313,55,45,43,55,43,72,5,false
528,Swoobat,PSYCHIC,FLYING,425,67,57,55,77,55,114,5,false
529,Drilbur,GROUND,,328,60,85,40,30,45,68,5,false
530,Excadrill,GROUND,STEEL,508,110,135,60,50,65,88,5,false
531,Audino,NORMAL,,445,103,60,86,60,86,50,5,false
532,Timburr,FIGHTING,,305,75,80,55,25,35,35,5,false
533,Gurdurr,FIGHTING,,405,85,105,85,40,50,40,5,false
534,Conkeldurr,FIGHTING,,505,105,140,95,55,65,45,5,false
535,Tympole,WATER,,294,50,50,40,50,40,64,5,false
536,Palpitoad,WATER,GROUND,384,75,65,55,65,55,69,5,false
537,Seismitoad,WATER,GROUND,509,105,95,75,85,75,74,5,false
538,Throh,FIGHTING,,465,120,100,85,30,85,45,5,false
539,Sawk,FIGHTING,,465,75,125,75,30,75,85,5,false
540,Sewaddle,BUG,GRASS,310,45,53,70,40,60,42,5,false
541,Swadloon,BUG,GRASS,380,55,63,90,50,80,42,5,false
542,Leavanny,BUG,GRASS,500,75,103,80,70,80,92,5,false
543,Venipede,BUG,POISON,260,30,45,59,30,39,57,5,false
544,Whirlipede,BUG,POISON,360,40,55,99,40,79,47,5,false
545,Scolipede,BUG,POISON,485,60,100,89,55,69,112,5,false
546,Cottonee,GRASS,FAIRY,280,40,27,60,37,50,66,5,false
547,Whimsicott,GRASS,FAIRY,480,60,67,85,77,75,116,5,false
548,Petilil,GRASS,,280,45,35,50,70,50,30,5,false
549,Lilligant,GRASS,,480,70,60,75,110,75,90,5,false
550,Basculin,WATER,,460,70,92,65,80,55,98,5,false
551,Sandile,GROUND,DARK,292,50,72,35,35,35,65,5,false
552,Krokorok,GROUND,DARK,351,60,82,45,45,45,74,5,false
553,Krookodile,GROUND,DARK,519,95,117,80,65,70,92,5,false
554,Darumaka,FIRE,,315,70,90,45,15,45,50,5,false
555,Darmanitan Standard Mode,FIRE,,480,105,140,55,30,55,95,5,false
556,Maractus,GRASS,,461,75,86,67,106,67,60,5,false
557,Dwebble,BUG,ROCK,325,50,65,85,35,35,55,5,false
558,Crustle,BUG,ROCK,475,70,95,125,65,75,45,5,false
559,Scraggy,DARK,FIGHTING,348,50,75,70,35,70,48,5,false
560,Scrafty,DARK,FIGHTING,488,65,90,115,45,115,58,5,false
561,Sigilyph,PSYCHIC,FLYING,490,72,58,80,103,80,97,5,false
562,Yamask,GHOST,,303,38,30,85,55,65,30,5,false
563,Cofagrigus,GHOST,,483,58,50,145,95,105,30,5,false
564,Tirtouga,WATER,ROCK,355,54,78,103,53,45,22,5,false
565,Carracosta,WATER,ROCK,495,74,108,133,83,65,32,5,false
566,Archen,ROCK,FLYING,401,55,112,45,74,45,70,5,false
567,Archeops,ROCK,FLYING,567,75,140,65,112,65,110,5,false
568,Trubbish,POISON,,329,50,50,62,40,62,65,5,false
569,Garbodor,POISON,,474,80,95,82,60,82,75,5,false
570,Zorua,DARK,,330,40,65,40,80,40,65,5,false
571,Zoroark,DARK,,510,60,105,60,120,60,105,5,false
572,Minccino,NORMAL,,300,55,50,40,40,40,75,5,false
573,Cinccino,NORMAL,,470,75,95,60,65,60,115,5,false
574,Gothita,PSYCHIC,,290,45,30,50,55,65,45,5,false
575,Gothorita,PSYCHIC,,390,60,45,70,75,85,55,5,false
576,Gothitelle,PSYCHIC,,490,70,55,95,95,110,65,5,false
577,Solosis,PSYCHIC,,290,45,30,40,105,50,20,5,false
578,Duosion,PSYCHIC,,370,65,40,50,125,60,30,5,false
579,Reuniclus,PSYCHIC,,490,110,65,75,125,85,30,5,false
580,Ducklett,WATER,FLYING,305,62,44,50,44,50,55,5,false
581,Swanna,WATER,FLYING,473,75,87,63,87,63,98,5,false
582,Vanillite,ICE,,305,36,50,50,65,60,44,5,false
583,Vanillish,ICE,,395,51,65,65,80,75,59,5,false
584,Vanilluxe,ICE,,535,71,95,85,110,95,79,5,false
585,Deerling,NORMAL,GRASS,335,60,60,50,40,50,75,5,false
586,Sawsbuck,NORMAL,GRASS,475,80,100,70,60,70,95,5,false
587,Emolga,ELECTRIC,FLYING,428,55,75,60,75,60,103,5,false
588,Karrablast,BUG,,315,50,75,45,40,45,60,5,false
589,Escavalier,BUG,STEEL,495,70,135,105,60,105,20,5,false
590,Foongus,GRASS,POISON,294,69,55,45,55,55,15,5,false
591,Amoonguss,GRASS,POISON,464,114,85,70,85,80,30,5,false
592,Frillish,WATER,GHOST,335,55,40,50,65,85,40,5,false
593,Jellicent,WATER,GHOST,480,100,60,70,85,105,60,5,false
594,Alomomola,WATER,,470,165,75,80,40,45,65,5,false
595,Joltik,BUG,ELECTRIC,319,50,47,50,57,50,65,5,false
596,Galvantula,BUG,ELECTRIC,472,70,77,60,97,60,108,5,false
597,Ferroseed,GRASS,STEEL,305,44,50,91,24,86,10,5,false
598,Ferrothorn,GRASS,STEEL,489,74,94,131,54,116,20,5,false
599,Klink,STEEL,,300,40,55,70,45,60,30,5,false
600,Klang,STEEL,,440,60,80,95,70,85,50,5,false
601,Klinklang,STEEL,,520,60,100,115,70,85,90,5,false
602,Tynamo,ELECTRIC,,275,35,55,40,45,40,60,5,false
603,Eelektrik,ELECTRIC,,405,65,85,70,75,70,40,5,false
604,Eelektross,ELECTRIC,,515,85,115,80,105,80,50,5,false
605,Elgyem,PSYCHIC,,335,55,55,55,85,55,30,5,false
606,Beheeyem,PSYCHIC,,485,75,75,75,125,95,40,5,false
607,Litwick,GHOST,FIRE,275,50,30,55,65,55,20,5,false
608,Lampent,GHOST,FIRE,370,60,40,60,95,60,55,5,false
609,Chandelure,GHOST,FIRE,520,60,55,90,145,90,80,5,false
610,Axew,DRAGON,,320,46,87,60,30,40,57,5,false
611,Fraxure,DRAGON,,410,66,117,70,40,50,67,5,false
612,Haxorus,DRAGON,,540,76,147,90,60,70,97,5,false
613,Cubchoo,ICE,,305,55,70,40,60,40,40,5,false
614,Beartic,ICE,,485,95,110,80,70,80,50,5,false
615,Cryogonal,ICE,,485,70,50,30,95,135,105,5,false
616,Shelmet,BUG,,305,50,40,85,40,65,25,5,false
617,Accelgor,BUG,,495,80,70,40,100,60,145,5,false
618,Stunfisk,GROUND,ELECTRIC,471,109,66,84,81,99,32,5,false
619,Mienfoo,FIGHTING,,350,45,85,50,55,50,65,5,false
620,Mienshao,FIGHTING,,510,65,125,60,95,60,105,5,false
621,Druddigon,DRAGON,,485,77,120,90,60,90,48,5,false
622,Golett,GROUND,GHOST,303,59,74,50,35,50,35,5,false
623,Golurk,GROUND,GHOST,483,89,124,80,55,80,55,5,false
624,Pawniard,DARK,STEEL,340,45,85,70,40,40,60,5,false
625,Bisharp,DARK,STEEL,490,65,125,100,60,70,70,5,false
626,Bouffalant,NORMAL,,490,95,110,95,40,95,55,5,false
627,Rufflet,NORMAL,FLYING,350,70,83,50,37,50,60,5,false
628,Braviary,NORMAL,FLYING,510,100,123,75,57,75,80,5,false
629,Vullaby,DARK,FLYING,370,70,55,75,45,65,60,5,false
630,Mandibuzz,DARK,FLYING,510,110,65,105,55,95,80,5,false
631,Heatmor,FIRE,,484,85,97,66,105,66,65,5,false
632,Durant,BUG,STEEL,484,58,109,112,48,48,109,5,false
633,Deino,DARK,DRAGON,300,52,65,50,45,50,38,5,false
634,Zweilous,DARK,DRAGON,420,72,85,70,65,70,58,5,false
635,Hydreigon,DARK,DRAGON,600,92,105,90,125,90,98,5,false
636,Larvesta,BUG,FIRE,360,55,85,55,50,55,60,5,false
637,Volcarona,BUG,FIRE,550,85,60,65,135,105,100,5,false
638,Cobalion,STEEL,FIGHTING,580,91,90,129,90,72,108,5,true
639,Terrakion,ROCK,FIGHTING,580,91,129,90,72,90,108,5,true
640,Virizion,GRASS,FIGHTING,580,91,90,72,90,129,108,5,true
641,Tornadus Incarnate Forme,FLYING,,580,79,115,70,125,80,111,5,true
642,Thundurus Incarnate Forme,ELECTRIC,FLYING,580,79,115,70,125,80,111,5,true
643,Reshiram,DRAGON,FIRE,680,100,120,100,150,120,90,5,true
644,Zekrom,DRAGON,ELECTRIC,680,100,150,120,120,100,90,5,true
645,Landorus Incarnate Forme,GROUND,FLYING,600,89,125,90,115,80,101,5,true
646,Kyurem,DRAGON,ICE,660,125,130,90,130,90,95,5,true
647,Keldeo Ordinary Forme,WATER,FIGHTING,580,91,72,90,129,90,108,5,true
648,Meloetta Aria Forme,NORMAL,PSYCHIC,600,100,77,77,128,128,90,5,true
649,Genesect,BUG,STEEL,600,71,120,95,120,95,99,5,true
650,Chespin,GRASS,,313,56,61,65,48,45,38,6,false
651,Quilladin,GRASS,,405,61,78,95,56,58,57,6,false
652,Chesnaught,GRASS,FIGHTING,530,88,107,122,74,75,64,6,false
653,Fennekin,FIRE,,307,40,45,40,62,60,60,6,false
654,Braixen,FIRE,,409,59,59,58,90,70,73,6,false
655,Delphox,FIRE,PSYCHIC,534,75,69,72,114,100,104,6,false
656,Froakie,WATER,,314,41,56,40,62,44,71,6,false
657,Frogadier,WATER,,405,54,63,52,83,56,97,6,false
658,Greninja,WATER,DARK,530,72,95,67,103,71,122,6,false
659,Bunnelby,NORMAL,,237,38,36,38,32,36,57,6,false
660,Diggersby,NORMAL,GROUND,423,85,56,77,50,77,78,6,false
661,Fletchling,NORMAL,FLYING,278,45,50,43,40,38,62,6,false
662,Fletchinder,FIRE,FLYING,382,62,73,55,56,52,84,6,false
663,Talonflame,FIRE,FLYING,499,78,81,71,74,69,126,6,false
664,Scatterbug,BUG,,200,38,35,40,27,25,35,6,false
665,Spewpa,BUG,,213,45,22,60,27,30,29,6,false
666,Vivillon,BUG,FLYING,411,80,52,50,90,50,89,6,false
667,Litleo,FIRE,NORMAL,369,62,50,58,73,54,72,6,false
668,Pyroar,FIRE,NORMAL,507,86,68,72,109,66,106,6,false
669,Flabébé,FAIRY,,303,44,38,39,61,79,42,6,false
670,Floette,FAIRY,,371,54,45,47,75,98,52,6,false
671,Florges,FAIRY,,552,78,65,68,112,154,75,6,false
672,Skiddo,GRASS,,350,66,65,48,62,57,52,6,false
673,Gogoat,GRASS,,531,123,100,62,97,81,68,6,false
674,Pancham,FIGHTING,,348,67,82,62,46,48,43,6,false
675,Pangoro,FIGHTING,DARK,495,95,124,78,69,71,58,6,false
676,Furfrou,NORMAL,,472,75,80,60,65,90,102,6,false
677,Espurr,PSYCHIC,,355,62,48,54,63,60,68,6,false
678,Meowstic Male,PSYCHIC,,466,74,48,76,83,81,104,6,false
679,Honedge,STEEL,GHOST,325,45,80,100,35,37,28,6,false
680,Doublade,STEEL,GHOST,448,59,110,150,45,49,35,6,false
681,Aegislash Blade Forme,STEEL,GHOST,520,60,150,50,150,50,60,6,false
682,Spritzee,FAIRY,,341,78,52,60,63,65,23,6,false
683,Aromatisse,FAIRY,,462,101,72,72,99,89,29,6,false
684,Swirlix,FAIRY,,341,62,48,66,59,57,49,6,false
685,Slurpuff,FAIRY,,480,82,80,86,85,75,72,6,false
686,Inkay,DARK,PSYCHIC,288,53,54,53,37,46,45,6,false
687,Malamar,DARK,PSYCHIC,482,86,92,88,68,75,73,6,false
688,Binacle,ROCK,WATER,306,42,52,67,39,56,50,6,false
689,Barbaracle,ROCK,WATER,500,72,105,115,54,86,68,6,false
690,Skrelp,POISON,WATER,320,50,60,60,60,60,30,6,false
691,Dragalge,POISON,DRAGON,494,65,75,90,97,123,44,6,false
692,Clauncher,WATER,,330,50,53,62,58,63,44,6,false
693,Clawitzer,WATER,,500,71,73,88,120,89,59,6,false
694,Helioptile,ELECTRIC,NORMAL,289,44,38,33,61,43,70,6,false
695,Heliolisk,ELECTRIC,NORMAL,481,62,55,52,109,94,109,6,false
696,Tyrunt,ROCK,DRAGON,362,58,89,77,45,45,48,6,false
697,Tyrantrum,ROCK,DRAGON,521,82,121,119,69,59,71,6,false
698,Amaura,ROCK,ICE,362,77,59,50,67,63,46,6,false
699,Aurorus,ROCK,ICE,521,123,77,72,99,92,58,6,false
700,Sylveon,FAIRY,,525,95,65,65,110,130,60,6,false
701,Hawlucha,FIGHTING,FLYING,500,78,92,75,74,63,118,6,false
702,Dedenne,ELECTRIC,FAIRY,431,67,58,57,81,67,101,6,false
703,Carbink,ROCK,FAIRY,500,50,50,150,50,150,50,6,false
704,Goomy,DRAGON,,300,45,50,35,55,75,40,6,false
705,Sliggoo,DRAGON,,452,68,75,53,83,113,60,6,false
706,Goodra,DRAGON,,600,90,100,70,110,150,80,6,false
707,Klefki,STEEL,FAIRY,470,57,80,91,80,87,75,6,false
708,Phantump,GHOST,GRASS,309,43,70,48,50,60,38,6,false
709,Trevenant,GHOST,GRASS,474,85,110,76,65,82,56,6,false
710,Pumpkaboo Average Size,GHOST,GRASS,335,49,66,70,44,55,51,6,false
711,Gourgeist Average Size,GHOST,GRASS,494,65,90,122,58,75,84,6,false
712,Bergmite,ICE,,304,55,69,85,32,35,28,6,false
713,Avalugg,ICE,,514,95,117,184,44,46,28,6,false
714,Noibat,FLYING,DRAGON,245,40,30,35,45,40,55,6,false
715,Noivern,FLYING,DRAGON,535,85,70,80,97,80,123,6,false
716,Xerneas,FAIRY,,680,126,131,95,131,98,99,6,true
717,Yveltal,DARK,FLYING,680,126,131,95,131,98,99,6,true
718,Zygarde 10% Forme,DRAGON,GROUND,486,54,100,71,61,85,115,6,true
719,Diancie,ROCK,FAIRY,600,50,100,150,100,150,50,6,true
720,Hoopa Confined,PSYCHIC,GHOST,600,80,110,60,150,130,70,6,true
721,Volcanion,FIRE,WATER,600,80,110,120,130,90,70,6,true
722,Rowlet,GRASS,FLYING,320,68,55,55,50,50,42,7,false
723,Dartrix,GRASS,FLYING,420,78,75,75,70,70,52,7,false
724,Decidueye,GRASS,GHOST,530,78,107,75,100,100,70,7,false
725,Litten,FIRE,,320,45,65,40,60,40,70,7,false
726,Torracat,FIRE,,420,65,85,50,80,50,90,7,false
727,Incineroar,FIRE,DARK,530,95,115,90,80,90,60,7,false
728,Popplio,WATER,,320,50,54,54,66,56,40,7,false
729,Brionne,WATER,,420,60,69,69,91,81,50,7,false
730,Primarina,WATER,FAIRY,530,80,74,74,126,116,60,7,false
731,Pikipek,NORMAL,FLYING,265,35,75,30,30,30,65,7,false
732,Trumbeak,NORMAL,FLYING,355,55,85,50,40,50,75,7,false
733,Toucannon,NORMAL,FLYING,485,80,120,75,75,75,60,7,false
734,Yungoos,NORMAL,,253,48,70,30,30,30,45,7,false
735,Gumshoos,NORMAL,,418,88,110,60,55,60,45,7,false
736,Grubbin,BUG,,300,47,62,45,55,45,46,7,false
737,Charjabug,BUG,ELECTRIC,400,57,82,95,55,75,36,7,false
738,Vikavolt,BUG,ELECTRIC,500,77,70,90,145,75,43,7,false
739,Crabrawler,FIGHTING,,338,47,82,57,42,47,63,7,false
740,Crabominable,FIGHTING,ICE,478,97,132,77,62,67,43,7,false
741,Oricorio Baile Style,FIRE,FLYING,476,75,70,70,98,70,93,7,false
742,Cutiefly,BUG,FAIRY,304,40,45,40,55,40,84,7,false
743,Ribombee,BUG,FAIRY,464,60,55,60,95,70,124,7,false
744,Rockruff,ROCK,,280,45,65,40,30,40,60,7,false
745,Lycanroc Midday Forme,ROCK,,487,75,115,65,55,65,112,7,false
746,Wishiwashi Solo Forme,WATER,,175,45,20,20,25,25,40,7,false
747,Mareanie,POISON,WATER,305,50,53,62,43,52,45,7,false
748,Toxapex,POISON,WATER,495,50,63,152,53,142,35,7,false
749,Mudbray,GROUND,,385,70,100,70,45,55,45,7,false
750,Mudsdale,GROUND,,500,100,125,100,55,85,35,7,false
751,Dewpider,WATER,BUG,269,38,40,52,40,72,27,7,false
752,Araquanid,WATER,BUG,454,68,70,92,50,132,42,7,false
753,Fomantis,GRASS,,250,40,55,35,50,35,35,7,false
754,Lurantis,GRASS,,480,70,105,90,80,90,45,7,false
755,Morelull,GRASS,FAIRY,285,40,35,55,65,75,15,7,false
756,Shiinotic,GRASS,FAIRY,405,60,45,80,90,100,30,7,false
757,Salandit,POISON,FIRE,320,48,44,40,71,40,77,7,false
758,Salazzle,POISON,FIRE,480,68,64,60,111,60,117,7,false
759,Stufful,NORMAL,FIGHTING,340,70,75,50,45,50,50,7,false
760,Bewear,NORMAL,FIGHTING,500,120,125,80,55,60,60,7,false
761,Bounsweet,GRASS,,210,42,30,38,30,38,32,7,false
762,Steenee,GRASS,,290,52,40,48,40,48,62,7,false
763,Tsareena,GRASS,,510,72,120,98,50,98,72,7,false
764,Comfey,FAIRY,,485,51,52,90,82,110,100,7,false
765,Oranguru,NORMAL,PSYCHIC,490,90,60,80,90,110,60,7,false
766,Passimian,FIGHTING,,490,100,120,90,40,60,80,7,false
767,Wimpod,BUG,WATER,230,25,35,40,20,30,80,7,false
768,Golisopod,BUG,WATER,530,75,125,140,60,90,40,7,false
769,Sandygast,GHOST,GROUND,320,55,55,80,70,45,15,7,false
770,Palossand,GHOST,GROUND,480,85,75,110,100,75,35,7,false
771,Pyukumuku,WATER,,410,55,60,130,30,130,5,7,false
772,Type: Null,NORMAL,,534,95,95,95,95,95,59,7,false
773,Silvally,NORMAL,,570,95,95,95,95,95,95,7,false
774,Minior Meteor Forme,ROCK,FLYING,440,60,60,100,60,100,60,7,false
775,Komala,NORMAL,,480,65,115,65,75,95,65,7,false
776,Turtonator,FIRE,DRAGON,485,60,78,135,91,85,36,7,false
777,Togedemaru,ELECTRIC,STEEL,435,65,98,63,40,73,96,7,false
778,Mimikyu,GHOST,FAIRY,476,55,90,80,50,105,96,7,false
779,Bruxish,WATER,PSYCHIC,475,68,105,70,70,70,92,7,false
780,Drampa,NORMAL,DRAGON,485,78,60,85,135,91,36,7,false
781,Dhelmise,GHOST,GRASS,517,70,131,100,86,90,40,7,false
782,Jangmo-o,DRAGON,,300,45,55,65,45,45,45,7,false
783,Hakamo-o,DRAGON,FIGHTING,420,55,75,90,65,70,65,7,false
784,Kommo-o,DRAGON,FIGHTING,600,75,110,125,100,105,85,7,false
785,Tapu Koko,ELECTRIC,FAIRY,570,70,115,85,95,75,130,7,true
786,Tapu Lele,PSYCHIC,FAIRY,570,70,85,75,130,115,95,7,true
787,Tapu Bulu,GRASS,FAIRY,570,70,130,115,85,95,75,7,true
788,Tapu Fini,WATER,FAIRY,570,70,75,115,95,130,85,7,true
789,Cosmog,PSYCHIC,,200,43,29,31,29,31,37,7,true
790,Cosmoem,PSYCHIC,,400,43,29,131,29,131,37,7,true
791,Solgaleo,PSYCHIC,STEEL,680,137,137,107,113,89,97,7,true
792,Lunala,PSYCHIC,GHOST,680,137,113,89,137,107,97,7,true
793,Nihilego,ROCK,POISON,570,109,53,47,127,131,103,7,false
794,Buzzwole,BUG,FIGHTING,570,107,139,139,53,53,79,7,false
795,Pheromosa,BUG,FIGHTING,570,71,137,37,137,37,151,7,false
796,Xurkitree,ELECTRIC,,570,83,89,71,173,71,83,7,false
797,Celesteela,STEEL,FLYING,570,97,101,103,107,101,61,7,false
798,Kartana,GRASS,STEEL,570,59,181,131,59,31,109,7,false
799,Guzzlord,DARK,DRAGON,570,223,101,53,97,53,43,7,false
800,Necrozma,PSYCHIC,,600,97,107,101,127,89,79,7,true
801,Magearna,STEEL,FAIRY,600,80,95,115,130,115,65,7,true
802,Marshadow,FIGHTING,GHOST,600,90,125,80,90,90,125,7,true
803,Poipole,POISON,,420,67,73,67,73,67,73,7,false
804,Naganadel,POISON,DRAGON,540,73,73,73,127,73,121,7,false
805,Stakataka,ROCK,STEEL,570,61,131,211,53,101,13,7,false
806,Blacephalon,FIRE,GHOST,570,53,127,53,151,79,107,7,false
807,Zeraora,ELECTRIC,,600,88,112,75,102,80,143,7,true
808,Meltan,STEEL,,300,46,65,65,55,35,34,0,true
809,Melmetal,STEEL,,600,135,143,143,80,65,34,0,true
